name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,serialid
Astra 2A ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",28.16,"""35,776""","""35,797""",2.49E-04,0.08,1436.12,"""3,635""","""2,500 (BOL)""","""7,000""",1998-08-30,15 yrs.,Hughes,USA,Baikonur Cosmodrome,Proton K,1998-050A,25462,"""Voice and video communications to Europe; 32 Ku-band for first five years, 28 after.""",70
Astra 2B ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",28.22,"""35,772""","""35,801""",3.44E-04,0.07,1436.11,"""3,315""","""1,400""","""7,800""",2000-09-14,14yrs.,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G,2000-054A,26494,"""Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland.""",71
Astra 2C ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",28.21,"""35,768""","""35,804""",4.27E-04,0.07,1436.12,"""3,643""","""2,000""","""7,000""",2001-06-16,15 yrs.,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,2001-025A,26853,"""Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe""",72
Astra 2D,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",28.14,"""35,770""","""35,802""",3.80E-04,0.07,1436.1,"""1,420""",700,"""1,500""",2000-12-19,15 yrs.,Hughes,USA,Guiana Space Center,Ariane 5G,2000-081A,26638,"""Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland.""",73
Astra 3A ,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",23.48,"""35,770""","""35,804""",4.03E-04,0.06,1436.07,"""1,500""",750,"""1,500""",2002-03-29,10 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015B,27400,"""20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland.""",74
Astra 3B,Luxembourg,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,"",23.5,"""35,768""","""35,806""",4.51E-04,0.08,1436.11,"""5,471""","","""10,000""",2010-05-21,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2010-021A,36581,"""60 Ku-band, 4 Ka-band transponders. Serves German, Czech, Slovak market.""",75
Atlantic Bird 1 ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,"",-12.43,"""35,768""","""35,805""",4.39E-04,0.11,1436.1,"""2,700""","""1,550""","""5,100""",2002-08-28,15 yrs.,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,2002-040A,27508,"""Twenty channels, telecommunications services between Europe and the Americas.""",76
Atlantic Bird 2 ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,"",-8.09,"""35,766""","""35,806""",4.74E-04,0.06,1436.1,"""3,150""","""1,368""","""7,400""",2001-09-25,15 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,2001-042A,26927,European and American coverage.,77
Atlantic Bird 3 (Stellat 5),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,"",-4.93,"""35,769""","""35,805""",4.27E-04,0.04,1436.08,"""4,050""","""1,805""","""11,000""",2002-07-05,15 yrs.,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,2002-035A,27460,"""45 transponders; Ku and C-band frequencies, Americas, Europe and Africa.""",78
Atlantic Bird 4 (Hot Bird 4) ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,"",-7.19,"""35,762""","""35,810""",5.69E-04,0.02,1436.1,"""2,885""","""1,310""","""6,000""",1998-02-27,14 yrs.,Matra Marconi Space (Astrium),France/UK/Germany,Guiana Space Center,Ariane 4,1998-013A,25237,Europe and North Africa; 20 active channels,79
Atlantic Bird 7,Multinational,European Telecommunications Satellite Consoritum (EUTELSAT)/Nilesat,Commercial,Communications,GEO,"",-7,"""35,774""","""35,799""",2.97E-04,0.06,1436.09,"""4,600""","","""12,000""",2011-09-24,15 yrs.,Astrium,France,Sea Launch (Odyssey),Zenit 3SL,2011-051A,37816,Replaces Atlantic Bird 4A at 7 West.,80
Badr 2 (Badr B),Pakistan,Pakistan Space and Upper Atmosphere Research Commission (SUPARCO),Government/Military,Remote Sensing/Technology Development,LEO,Sun-Synchronous,0,985,"""1,014""",1.97E-03,99.5,105.1,70,"","",2001-12-10,2+ yrs.,Pakistan Space and Upper Atmosphere Research Commission (SUPARCO),Pakistan,Baikonur Cosmodrome,Zenit 2,2001-056C,27003,Pakistan's microsatellite for development of surveillance capability.,81
Badr 4 (Arabsat 4B),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,"",26.02,"""35,780""","""35,791""",1.30E-04,0.07,1436.06,"""3,304""","""1,487""","",2006-11-08,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2006-051A,29526,28 Ku-band transponders; voice and video communications to West Asia region.,82
Badr 5 (Arabsat 5B),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,"",26,"""35,834""","""35,883""",5.80E-04,0.06,1439.76,"""5,420""","","",2010-06-03,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,2010-025A,36592,"""Second generation; radio and tv communications to Middle East; 26 C-band, 24 ku-band transponders.""",83
Badr 5A (Arabsat 5A),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,"",30.5,"""35,605""","""35,623""",2.14E-04,0.03,1427.27,"""4,940""","","",2010-06-26,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2010-032B,36745,"""26 C-band, 24 Ku-bandover sub-Saharan Africa, North Africa and the Middle East.""",84
Badr 6 (Arabsat 4AR),Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,"",26.08,"""35,768""","""35,805""",4.39E-04,0.05,1436.1,"""3,400""","","""6,000""",2008-07-07,15 yrs.,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2008-034B,33154,"""24 C-band, 20 Ku-band transponders, direct-to-home voice, video, and internet services to the Middle East and North Africa.""",85
ORBCOMM FM-16 (ORBCOMM B4),USA,ORBCOMM Inc.,Commercial,Communications,LEO,Intermediate,0,817,825,5.56E-04,45,101.32,45,22,160,1998-08-02,5 yrs.,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1998-046E,25417,"",86
BeeSat (Berlin Experimental and Educational Satellite),Germany,Institut fÙr Luft- und Raumfahrt,Civil,Technology Development,LEO,Sun-Synchronous,0,726,752,1.83E-03,98.3,98.5,1,"","",2009-09-23,1 yr.,TechnischeæUniversit_tæBerlin,Germany,Sriharikota Launch Station,PSLV,2009-051C,35933,Verify the behavior of new micro reaction wheels for picosatellites.,87
Beidou 1B (BNTS-1B),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,"",80.36,"""35,764""","""35,809""",5.34E-04,1.52,1436.1,"""2,200""","","",2000-12-20,"",Space Technology Research Institute (part of CASC),China (PR),Xichang Satellite Launch Center,Long March CZ3A,2000-082A,26643,Space-based navigation and positioning system to improve accuracy of weapons and situational awareness of military forces.,88
Beidou 1C (Dong Fang Hong 54),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,"",110.55,"""35,769""","""35,802""",3.91E-04,0.14,1436.08,"""2,200""","","",2003-05-24,"",Space Technology Research Institute (part of CASC),China (PR),Xichang Satellite Launch Center,Long March CZ3A,2003-021A,27813,Space-based navigation and positioning system to improve accuracy of weapons and situational awareness of military forces; weather monitoring and telecommunications; final constellation of 4 satellites.,89
"""BeijinGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)""",China (PR),Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Civil,Earth Observation,LEO,Sun-Synchronous,0,682,705,1.63E-03,98.18,98.64,166,155,50,2005-10-27,7 yrs.,Tsinghua University/University of Surrey,China (PR)/United Kingdom,Plesetsk Cosmodrome,Kosmos 3M,2005-043A,28890,Earth observation for Disaster Monitoring Constellation (DMC); also research.,90
Bird 2 (Bispectral InfraRed Detector 2),Germany,Institute of Space Sensor Technology and Planetary Exploration,Government/Civil,Remote Sensing/Technology Development,LEO,Sun-Synchronous,0,550,580,2.16E-03,97.7,95.96,92,77,120,2001-10-22,1.5 yrs.,Deutsches Zentrum fÙr Luft- und Raumfahrt,Germany,Satish Dhawan Space Centre,PSLV C3,2001-049C,26959,Forest fire recognition by small satellites.,91
Bonum 1 (Most 1),Russia,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,"",55.94,"""35,777""","""35,795""",2.13E-04,0.03,"""1,436.09""","""1,452""",620,"""1,500""",1998-11-22,12 yrs.,Hughes Space and Communications,USA,Cape Canaveral,Delta 2,1998-068A,25546,"""Television broadcasting; 8 Ku-band, Siberia or Europe, selected.""",92
Brazilsat B-2 (Brasilsat B-2),Brazil,Star One (SES [Soci_t_ Europ_enne des Satellites (SES)]),Military/Commercial,Communications,GEO,"",-92.02,"""35,776""","""35,797""",2.49E-04,0.84,1436.11,"""1,780""","""1,050 (BOL)""","""1,800 (BOL)""",1995-03-28,12 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,1995-016A,23536,24 C-band; several X-band.,93
Brazilsat B-3 (Brasilsat B-3),Brazil,Star One (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,"",-74.96,"""35,769""","""35,803""",4.03E-04,0.04,1436.07,"""1,780""","""1,050 (BOL)""","""1,800 (BOL)""",1998-02-04,12 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,1998-006A,25152,28 C-band transponders for voice and video communication.,94
Brazilsat B-4 (Brasilsat B-4),Brazil,Star One (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,"",-84.03,"""35,772""","""35,800""",3.32E-04,0.07,1436.09,"""2,495""","""1,050 (BOL)""","""1,800 (BOL)""",2000-08-17,12 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,2000-046A,26469,28 C-band; voice and video communications to all of South America.,95
BSAT-2A ,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,GEO,"",109.94,"""35,778""","""35,794""",1.90E-04,0.07,1436.1,"""1,317""",750,"""1,982 (EOL)""",2001-03-08,10 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5G,2001-011B,26720,Direct-to-home digital high-definition television for Japan.,96
BSAT-2C ,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,GEO,"",109.89,"""35,766""","""35,806""",4.74E-04,0.06,1436.08,"""1,275""",535,"""1,982 (EOL)""",2003-06-11,10 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5G,2003-028A,27830,Backup to BSAT-2A; direct digital broadcasts to homes in Japan and neighboring countries through its Ku-band transponders.,97
BSAT-3A,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,GEO,"",109.91,"""35,778""","""35,794""",1.90E-04,0.03,1436.1,"""1,980""","","",2007-08-14,13 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-036B,32019,Twelve 130W Ku-band transponders; HD TV.,98
BSAT-3B,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,GEO,"",110,"""33,066""","""35,725""",3.26E-02,0.07,1365.61,"""2,060""",975,"",2010-10-28,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2010-056B,37207,Broadcast 130W Ku-band transponders.,99
BSAT-3C/JCSat 110-R,Japan,Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,Commercial,Communications,GEO,"",110,"""35,784""","""35,787""",3.56E-05,0.05,1436.04,"""2,910""","","",2011-08-06,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2011-041B,37776,Co-owned by two companies.,100
C/NOFS (Communication/Navigation Outage Forecasting System),USA,US Air Force,Military,Technology Development,LEO,"",0,406,853,3.19E-02,13,97.29,384,"","",2008-04-16,"",General Dynamics,USA,L-1011 Aircraft,Pegasus,2008-017A,32765,Designed to monitor and forecast global ionospheric scintillation in real-time.,101
Cakrawarta 1 (Indostar 1),Indonesia,PT Citra Sari Makmur (CSM),Commercial,Communications,GEO,"",107.57,"""35,767""","""35,806""",4.63E-04,3.32,1436.12,"""1,385""",643,"""3,200""",1997-11-12,12 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 4,1997-071B,25050,TV broadcasting in S-band; malfunction of 80% of capacity.,102
Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),France/USA,Centre National d'Etudes Spatiales (CNES)/NASA,Government,Earth Science,LEO,Sun-Synchronous,0,701,704,2.12E-04,98.23,98.83,587,"",550,2006-04-28,3 yrs.,Alcatel Alenia Space,France,Vandenberg AFB,Delta 2,2006-016B,29108,"",103
CAN-X2 (Canadian Advanced Nanospace experiment),Canada,University of Toronto Institute for Aerospace Studies,Civil,Technology Development,LEO,Sun-Synchronous,0,615,635,1.43E-03,97.99,97.21,7,"","",2008-04-28,"",University of Toronto Institute for Aerospace Studies,Canada,Sriharikota Launch Station,PSLV C9,2008-021H,32790,Will downlink telemetry.,104
CAN-X6 (Canadian Advanced Nanospace experiment; NTS [Nanosatellite Tracking Ships]),Canada,University of Toronto Institute for Aerospace Studies/Com Development International Ltd.,Civil/Commercial,Technology Development,LEO,Sun-Synchronous,0,619,636,1.21E-03,98,97.26,16,7,"",2008-04-28,.5 yrs.,University of Toronto Institute for Aerospace Studies/Com Development International Ltd.,Canada,Sriharikota Launch Station,PSLV C9,2008-021B,32784,Technology development; carries innovative attitude sensor.,105
CartoSat 1 (IRS P5),India,Indian Space Research Organization (ISRO),Government,Remote Sensing,LEO,Sun-Synchronous,0,620,622,1.43E-04,97.8,97.1,"""1,560""","""1,450""","""1,100""",2005-05-05,6 yrs.,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C6,2005-017A,28649,"""Remote sensing and mapping, land use, forest cover, river flow assessments.""",106
Compass M1 (Beidou M1),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,MEO,"",0,"""21,519""","""21,545""",4.66E-04,55.26,773.39,"""2,200""","","",2007-04-14,8 yrs.,Space Technology Research Institute (part of CASC),China (PR),Xichang Satellite Launch Center,Long March 3A,2007-011A,31115,Part of Compass constellation; first one in MEO orbit.,107
"""CartoSat 2 (IRS P7, CartoSat 2AT)""",India,Indian Space Research Organization (ISRO),Government,Remote Sensing,LEO,Sun-Synchronous,0,631,637,4.28E-04,98,97.39,680,"","",2007-01-10,"",Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C7,2007-001B,29710,"""Remote sensing and mapping; panchromatic images at one-meter resolution to be used for civil planning """"and other cartographic needs.""""""",108
CartoSat 2A,India,Indian Space Research Organization (ISRO),Military,Remote Sensing,LEO,Sun-Synchronous,0,623,644,1.50E-03,98,97.39,680,"","",2008-04-28,"",Indian Space Research Organization (ISRO),India,Sriharikota Launch Station,PSLV C9,2008-021A,32783,Military version of CartoSat 2; dedicated satellite for the Indian armed forces.,109
CartoSat 2B,India,Indian Space Research Organization (ISRO),Government,Remote Sensing,LEO,Sun-Synchronous,0,625,646,1.50E-03,98.04,97.42,694,"","",2010-07-12,"",Indian Space Research Organization (ISRO),India,Sriharikota Launch Station,PSLV,2010-035A,36795,"""Resource mapping, urban planning, transportation studies, water monitoring, and crop inventories.""",110
CFESat (Cibola Flight Experiment Satellite),USA,Los Alamos National Labs (LANL),Government,Technology Development,LEO,"",0,557,563,4.33E-04,35.43,95.86,159,"",110,2007-03-09,"",Surrey Satellite Technologies Ltd.,United Kingdom,Cape Canaveral,Atlas 5,2007-006F,30777,"""A number of experiments, including a prototype supercomputer designed to process data onboard rather than sending raw information directly to Earth.""",111
Chandra X-Ray Observatory (CXO),USA,NASA Goddard Space Flight Center,Government,Astrophysics,Elliptical,Deep Highly Eccentric,0,"""9,999""","""138,825""",7.97E-01,28.5,3808.92,"""4,742""","","""2,500""",1999-07-23,5 yrs.,TRW Space and Electronics,USA,Cape Canaveral,Space Shuttle (STS 93),1999-040B,25867,X-ray astronomy.,112
ChinaSat 6B (Zhong Xing 6B),China (PR),China Satellite Communication Corp. (China Satcom),Commercial/Government,Communications,GEO,"",115.58,"""35,777""","""35,797""",2.37E-04,0.05,1436.1,"""4,600""","","""9,500""",2007-07-06,15 yrs.,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,2007-031A,31800,38 C-band; voice and video services to Asia-Pacific and Oceania.,113
"""Chinastar-1 (ChinaSat-10, Zhongwei 1, Chinasat 5A)""",China (PR),China Satellite Communication Corp. (China Satcom),Commercial/Government,Communications,GEO,"",87.68,"""35,778""","""35,795""",2.02E-04,0.02,1436.12,"""3,000""","""1,418""","""6,797 (EOL)""",1998-05-30,15 yrs.,Lockheed Martin,USA,Xichang Satellite Launch Center,Long March 3B,1998-033A,25354,"""24 C-band, 24 Ku-band; voice and video communications throughout China and neighboring countries.""",114
"""Chuangxin 1 (Innovation 1, Chuang Xin 1, CZ-1)""",China (PR),Chinese Academy of Sciences,Government,Communications,LEO,Sun-Synchronous,0,686,758,5.08E-03,98.5,99.23,100,"","",2003-10-21,"",China Academy of Sciences,China (PR),Taiyuan Launch Center,Long March 3B,2003-049B,28058,Prototype of advanced telecommunications satellite for LEO.,115
Chuangxin 2 (Innovation 2),China (PR),Chinese Academy of Sciences,Government,Earth Observation,LEO,Sun-Synchronous,0,786,805,1.33E-03,98.5,100.78,100,"","",2008-11-05,"",China Academy of Sciences,China (PR),Jiuquan Satellite Launch Center,Long March 2D,2008-056B,33434,Collect and relay hydrological and meteorological data and data for disaster relief.,116
Chuangxin 3 (Innovation 3),China (PR),Chinese Academy of Sciences,Government,Earth Observation,LEO,Sun-Synchronous,0,787,801,9.77E-04,98.4,100.75,100,"","",2011-11-20,"",China Academy of Sciences,China (PR),Jiuquan Satellite Launch Center,Long March 2D,2011-068A,37930,Collect and relay hydrological and meteorological data and data for disaster relief.,117
Ciel-2,Canada,Ciel Satellite Group,Commercial,Communications,GEO,"",-129,"""37,782""","""35,788""",-2.31E-02,0.05,1436.05,"""5,585""","","",2008-12-10,15 yrs.,Thales Alenia Space,France,Baikonur Cosmodrome,Proton M,2008-063A,33453,Digital television; 32 Ku-band transponders.,118
Cloudsat,USA,NASA/Colorado State University,Government/Civil,Earth Science,LEO,Sun-Synchronous,0,701,704,2.12E-04,98.25,98.83,848,"",570,2006-04-28,2 yrs.,NASA Jet Propulsion Laboratory,USA,Vandenberg AFB,Delta 2,2006-016A,29107,"""Joins Aqua, Parasol, Aura, and Calipso in A-Train; meteorological satellite, carries single radar to obtain the reflectivity of clouds.""",119
Compass G-1 (Beidou G1),China (PR),Chinese Defense Ministry,Military,Navigation/Global Positioning,GEO,"",144.5,"""35,768""","""35,803""",4.15E-04,1.78,1436.05,"""2,200""","","",2010-01-16,"",Space Technology Research Institute (part of CASC),China (PR),Xichang Satellite Launch Center,Long March 3C,2010-001A,36287,Part of Compass constellation.,120
